"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""A1.12"",""rule_type"":""CATEGORY"",""variables"":[""P35""],""categories"":[{""code"":""HOMBRE"",""label"":""Hombres"",""condition"":{""eq"":[""P35"",1]}},{""code"":""MUJER"",""label"":""Mujeres"",""condition"":{""eq"":[""P35"",2]}}],""denominator"":{""notna"":""P35""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""B.1"",""rule_type"":""CATEGORY"",""variables"":[""GRUPOS4""],""categories"":[{""code"":""01"",""label"":""Agricultura, ganadería, caza, silvicultura y pesca"",""condition"":{""eq"":[""GRUPOS4"",1]}},{""code"":""02"",""label"":""Industria manufacturera"",""condition"":{""eq"":[""GRUPOS4"",2]}},{""code"":""03"",""label"":""Comercio"",""condition"":{""eq"":[""GRUPOS4"",3]}},{""code"":""04"",""label"":""Servicios"",""condition"":{""eq"":[""GRUPOS4"",4]}},{""code"":""_NI"",""label"":""No informa"",""condition"":{""eq"":[""GRUPOS4"",5]}}],""denominator"":{""notna"":""GRUPOS4""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";6855
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""B.1"",""rule_type"":""CATEGORY"",""variables"":[""GRUPOS4""],""categories"":[{""code"":""01"",""label"":""Agricultura, ganadería, caza, silvicultura y pesca"",""condition"":{""eq"":[""GRUPOS4"",1]}},{""code"":""02"",""label"":""Industria manufacturera"",""condition"":{""eq"":[""GRUPOS4"",2]}},{""code"":""03"",""label"":""Comercio"",""condition"":{""eq"":[""GRUPOS4"",3]}},{""code"":""04"",""label"":""Servicios"",""condition"":{""eq"":[""GRUPOS4"",4]}},{""code"":""_NI"",""label"":""No informa"",""condition"":{""eq"":[""GRUPOS4"",5]}}],""denominator"":{""notna"":""GRUPOS4""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";6855
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""B.2"",""rule_type"":""CATEGORY"",""variables"":[""GRUPOS12""],""categories"":[{""code"":""01"",""label"":""Agricultura, ganadería, caza, silvicultura y pesca"",""condition"":{""eq"":[""GRUPOS12"",1]}},{""code"":""02"",""label"":""Minería"",""condition"":{""eq"":[""GRUPOS12"",2]}},{""code"":""03"",""label"":""Industria manufacturera"",""condition"":{""eq"":[""GRUPOS12"",3]}},{""code"":""04"",""label"":""Construcción"",""condition"":{""eq"":[""GRUPOS12"",4]}},{""code"":""05"",""label"":""Comercio y reparación de vehículos automotores y motocicletas"",""condition"":{""eq"":[""GRUPOS12"",5]}},{""code"":""06"",""label"":""Transporte y almacenamiento"",""condition"":{""eq"":[""GRUPOS12"",6]}},{""code"":""07"",""label"":""Alojamiento y servicios de comida"",""condition"":{""eq"":[""GRUPOS12"",7]}},{""code"":""08"",""label"":""Información y comunicaciones"",""condition"":{""eq"":[""GRUPOS12"",8]}},{""code"":""09"",""label"":""Actividades financieras y de seguros, inmobiliarias, profesionales y servicios administrativos"",""condition"":{""eq"":[""GRUPOS12"",9]}},{""code"":""10"",""label"":""Educación"",""condition"":{""eq"":[""GRUPOS12"",10]}},{""code"":""11"",""label"":""Actividades de atención a la salud humana y de asistencia social"",""condition"":{""eq"":[""GRUPOS12"",11]}},{""code"":""12"",""label"":""Actividades artísticas, de entretenimiento, de recreación y otras actividades de servicios"",""condition"":{""eq"":[""GRUPOS12"",12]}},{""code"":""_NI"",""label"":""No informa"",""condition"":{""eq"":[""GRUPOS12"",13]}}],""denominator"":{""notna"":""GRUPOS12""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";17823
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""B.2"",""rule_type"":""CATEGORY"",""variables"":[""GRUPOS12""],""categories"":[{""code"":""01"",""label"":""Agricultura, ganadería, caza, silvicultura y pesca"",""condition"":{""eq"":[""GRUPOS12"",1]}},{""code"":""02"",""label"":""Minería"",""condition"":{""eq"":[""GRUPOS12"",2]}},{""code"":""03"",""label"":""Industria manufacturera"",""condition"":{""eq"":[""GRUPOS12"",3]}},{""code"":""04"",""label"":""Construcción"",""condition"":{""eq"":[""GRUPOS12"",4]}},{""code"":""05"",""label"":""Comercio y reparación de vehículos automotores y motocicletas"",""condition"":{""eq"":[""GRUPOS12"",5]}},{""code"":""06"",""label"":""Transporte y almacenamiento"",""condition"":{""eq"":[""GRUPOS12"",6]}},{""code"":""07"",""label"":""Alojamiento y servicios de comida"",""condition"":{""eq"":[""GRUPOS12"",7]}},{""code"":""08"",""label"":""Información y comunicaciones"",""condition"":{""eq"":[""GRUPOS12"",8]}},{""code"":""09"",""label"":""Actividades financieras y de seguros, inmobiliarias, profesionales y servicios administrativos"",""condition"":{""eq"":[""GRUPOS12"",9]}},{""code"":""10"",""label"":""Educación"",""condition"":{""eq"":[""GRUPOS12"",10]}},{""code"":""11"",""label"":""Actividades de atención a la salud humana y de asistencia social"",""condition"":{""eq"":[""GRUPOS12"",11]}},{""code"":""12"",""label"":""Actividades artísticas, de entretenimiento, de recreación y otras actividades de servicios"",""condition"":{""eq"":[""GRUPOS12"",12]}},{""code"":""_NI"",""label"":""No informa"",""condition"":{""eq"":[""GRUPOS12"",13]}}],""denominator"":{""notna"":""GRUPOS12""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";17823
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.1"",""rule_type"":""CATEGORY"",""variables"":[""P3050""],""categories"":[{""code"":""SOLO"",""label"":""Usted solo"",""condition"":{""eq"":[""P3050"",1]}},{""code"":""FAMILIARES"",""label"":""Usted y otro(s) familiar(es)"",""condition"":{""eq"":[""P3050"",2]}},{""code"":""NO_FAMILIARES"",""label"":""Usted y otra(s) persona(s) no familiar(es)"",""condition"":{""eq"":[""P3050"",3]}},{""code"":""OTRAS_PERSONAS"",""label"":""Otras personas"",""condition"":{""eq"":[""P3050"",4]}},{""code"":""UN_FAMILIAR"",""label"":""Un familiar"",""condition"":{""eq"":[""P3050"",5]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3050"",6]}}],""denominator"":{""notna"":""P3050""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";8226
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.1"",""rule_type"":""CATEGORY"",""variables"":[""P3050""],""categories"":[{""code"":""SOLO"",""label"":""Usted solo"",""condition"":{""eq"":[""P3050"",1]}},{""code"":""FAMILIARES"",""label"":""Usted y otro(s) familiar(es)"",""condition"":{""eq"":[""P3050"",2]}},{""code"":""NO_FAMILIARES"",""label"":""Usted y otra(s) persona(s) no familiar(es)"",""condition"":{""eq"":[""P3050"",3]}},{""code"":""OTRAS_PERSONAS"",""label"":""Otras personas"",""condition"":{""eq"":[""P3050"",4]}},{""code"":""UN_FAMILIAR"",""label"":""Un familiar"",""condition"":{""eq"":[""P3050"",5]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3050"",6]}}],""denominator"":{""notna"":""P3050""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";8226
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.2"",""rule_type"":""CATEGORY"",""variables"":[""P3051""],""categories"":[{""code"":""SIN_ALTERNATIVA"",""label"":""No tiene otra alternativa de ingresos"",""condition"":{""eq"":[""P3051"",1]}},{""code"":""OPORTUNIDAD"",""label"":""Lo identificó como una oportunidad de negocio"",""condition"":{""eq"":[""P3051"",2]}},{""code"":""TRADICION"",""label"":""Por tradición familiar o lo heredó"",""condition"":{""eq"":[""P3051"",3]}},{""code"":""COMPLEMENTAR_INGRESO"",""label"":""Para complementar o mejorar el ingreso"",""condition"":{""eq"":[""P3051"",4]}},{""code"":""EJERCER_OFICIO"",""label"":""Para ejercer su oficio, carrera o profesión"",""condition"":{""eq"":[""P3051"",5]}},{""code"":""BAJA_EMPLEABILIDAD"",""label"":""No tenía experiencia, escolaridad o capacitación para un empleo"",""condition"":{""eq"":[""P3051"",6]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3051"",7]}}],""denominator"":{""notna"":""P3051""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";9597
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.2"",""rule_type"":""CATEGORY"",""variables"":[""P3051""],""categories"":[{""code"":""SIN_ALTERNATIVA"",""label"":""No tiene otra alternativa de ingresos"",""condition"":{""eq"":[""P3051"",1]}},{""code"":""OPORTUNIDAD"",""label"":""Lo identificó como una oportunidad de negocio"",""condition"":{""eq"":[""P3051"",2]}},{""code"":""TRADICION"",""label"":""Por tradición familiar o lo heredó"",""condition"":{""eq"":[""P3051"",3]}},{""code"":""COMPLEMENTAR_INGRESO"",""label"":""Para complementar o mejorar el ingreso"",""condition"":{""eq"":[""P3051"",4]}},{""code"":""EJERCER_OFICIO"",""label"":""Para ejercer su oficio, carrera o profesión"",""condition"":{""eq"":[""P3051"",5]}},{""code"":""BAJA_EMPLEABILIDAD"",""label"":""No tenía experiencia, escolaridad o capacitación para un empleo"",""condition"":{""eq"":[""P3051"",6]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3051"",7]}}],""denominator"":{""notna"":""P3051""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";9597
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.3"",""rule_type"":""CATEGORY"",""variables"":[""P639""],""categories"":[{""code"":""MENOS_1"",""label"":""Menos de un año"",""condition"":{""eq"":[""P639"",1]}},{""code"":""1_A_MENOS_3"",""label"":""De 1 a menos de 3 años"",""condition"":{""eq"":[""P639"",2]}},{""code"":""3_A_MENOS_5"",""label"":""De 3 a menos de 5 años"",""condition"":{""eq"":[""P639"",3]}},{""code"":""5_A_MENOS_10"",""label"":""De 5 a menos de 10 años"",""condition"":{""eq"":[""P639"",4]}},{""code"":""10_MAS"",""label"":""10 años y más"",""condition"":{""eq"":[""P639"",5]}}],""denominator"":{""notna"":""P639""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";6855
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.3"",""rule_type"":""CATEGORY"",""variables"":[""P639""],""categories"":[{""code"":""MENOS_1"",""label"":""Menos de un año"",""condition"":{""eq"":[""P639"",1]}},{""code"":""1_A_MENOS_3"",""label"":""De 1 a menos de 3 años"",""condition"":{""eq"":[""P639"",2]}},{""code"":""3_A_MENOS_5"",""label"":""De 3 a menos de 5 años"",""condition"":{""eq"":[""P639"",3]}},{""code"":""5_A_MENOS_10"",""label"":""De 5 a menos de 10 años"",""condition"":{""eq"":[""P639"",4]}},{""code"":""10_MAS"",""label"":""10 años y más"",""condition"":{""eq"":[""P639"",5]}}],""denominator"":{""notna"":""P639""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";6855
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.4"",""rule_type"":""CATEGORY"",""variables"":[""P3052""],""categories"":[{""code"":""AHORROS"",""label"":""Ahorros personales"",""condition"":{""eq"":[""P3052"",1]}},{""code"":""PRESTAMOS_FAMILIARES"",""label"":""Préstamos familiares"",""condition"":{""eq"":[""P3052"",2]}},{""code"":""PRESTAMOS_BANCARIOS"",""label"":""Préstamos bancarios"",""condition"":{""eq"":[""P3052"",3]}},{""code"":""PRESTAMISTAS"",""label"":""Prestamistas"",""condition"":{""eq"":[""P3052"",4]}},{""code"":""CAPITAL_SEMILLA"",""label"":""Capital semilla"",""condition"":{""eq"":[""P3052"",5]}},{""code"":""NO_REQUIRIO"",""label"":""No requirió financiación"",""condition"":{""eq"":[""P3052"",6]}},{""code"":""NO_SABE"",""label"":""No sabe"",""condition"":{""eq"":[""P3052"",7]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3052"",8]}}],""denominator"":{""notna"":""P3052""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";10968
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""C.4"",""rule_type"":""CATEGORY"",""variables"":[""P3052""],""categories"":[{""code"":""AHORROS"",""label"":""Ahorros personales"",""condition"":{""eq"":[""P3052"",1]}},{""code"":""PRESTAMOS_FAMILIARES"",""label"":""Préstamos familiares"",""condition"":{""eq"":[""P3052"",2]}},{""code"":""PRESTAMOS_BANCARIOS"",""label"":""Préstamos bancarios"",""condition"":{""eq"":[""P3052"",3]}},{""code"":""PRESTAMISTAS"",""label"":""Prestamistas"",""condition"":{""eq"":[""P3052"",4]}},{""code"":""CAPITAL_SEMILLA"",""label"":""Capital semilla"",""condition"":{""eq"":[""P3052"",5]}},{""code"":""NO_REQUIRIO"",""label"":""No requirió financiación"",""condition"":{""eq"":[""P3052"",6]}},{""code"":""NO_SABE"",""label"":""No sabe"",""condition"":{""eq"":[""P3052"",7]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3052"",8]}}],""denominator"":{""notna"":""P3052""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";10968
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.1"",""rule_type"":""CATEGORY"",""variables"":[""P3053""],""categories"":[{""code"":""VIVIENDA"",""label"":""En la vivienda"",""condition"":{""eq"":[""P3053"",1]}},{""code"":""LOCAL"",""label"":""Local, tienda, taller, fábrica, oficina o consultorio"",""condition"":{""eq"":[""P3053"",2]}},{""code"":""DOMICILIO"",""label"":""De puerta en puerta o a domicilio"",""condition"":{""eq"":[""P3053"",3]}},{""code"":""AMBULANTE"",""label"":""Ambulante en sitio al descubierto"",""condition"":{""eq"":[""P3053"",4]}},{""code"":""VEHICULO"",""label"":""Vehículo con o sin motor"",""condition"":{""eq"":[""P3053"",5]}},{""code"":""OBRA"",""label"":""Obra o construcción"",""condition"":{""eq"":[""P3053"",6]}},{""code"":""FINCA"",""label"":""Finca"",""condition"":{""eq"":[""P3053"",7]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3053"",8]}}],""denominator"":{""notna"":""P3053""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";10968
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.1"",""rule_type"":""CATEGORY"",""variables"":[""P3053""],""categories"":[{""code"":""VIVIENDA"",""label"":""En la vivienda"",""condition"":{""eq"":[""P3053"",1]}},{""code"":""LOCAL"",""label"":""Local, tienda, taller, fábrica, oficina o consultorio"",""condition"":{""eq"":[""P3053"",2]}},{""code"":""DOMICILIO"",""label"":""De puerta en puerta o a domicilio"",""condition"":{""eq"":[""P3053"",3]}},{""code"":""AMBULANTE"",""label"":""Ambulante en sitio al descubierto"",""condition"":{""eq"":[""P3053"",4]}},{""code"":""VEHICULO"",""label"":""Vehículo con o sin motor"",""condition"":{""eq"":[""P3053"",5]}},{""code"":""OBRA"",""label"":""Obra o construcción"",""condition"":{""eq"":[""P3053"",6]}},{""code"":""FINCA"",""label"":""Finca"",""condition"":{""eq"":[""P3053"",7]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3053"",8]}}],""denominator"":{""notna"":""P3053""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";10968
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.2"",""rule_type"":""CATEGORY"",""variables"":[""P3095""],""categories"":[{""code"":""EXCLUSIVO"",""label"":""Con espacio exclusivo"",""condition"":{""eq"":[""P3095"",1]}},{""code"":""NO_EXCLUSIVO"",""label"":""Sin espacio exclusivo"",""condition"":{""eq"":[""P3095"",2]}}],""denominator"":{""notna"":""P3095""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.2"",""rule_type"":""CATEGORY"",""variables"":[""P3095""],""categories"":[{""code"":""EXCLUSIVO"",""label"":""Con espacio exclusivo"",""condition"":{""eq"":[""P3095"",1]}},{""code"":""NO_EXCLUSIVO"",""label"":""Sin espacio exclusivo"",""condition"":{""eq"":[""P3095"",2]}}],""denominator"":{""notna"":""P3095""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.3"",""rule_type"":""CATEGORY"",""variables"":[""P3096""],""categories"":[{""code"":""LOCAL_TIENDA"",""label"":""Local o tienda"",""condition"":{""eq"":[""P3096"",1]}},{""code"":""TALLER_FABRICA"",""label"":""Taller o fábrica"",""condition"":{""eq"":[""P3096"",2]}},{""code"":""OFICINA_CONSULTORIO"",""label"":""Oficina o consultorio"",""condition"":{""eq"":[""P3096"",3]}},{""code"":""KIOSCO_CASETA"",""label"":""Kiosco o caseta"",""condition"":{""eq"":[""P3096"",4]}}],""denominator"":{""notna"":""P3096""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";5484
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.3"",""rule_type"":""CATEGORY"",""variables"":[""P3096""],""categories"":[{""code"":""LOCAL_TIENDA"",""label"":""Local o tienda"",""condition"":{""eq"":[""P3096"",1]}},{""code"":""TALLER_FABRICA"",""label"":""Taller o fábrica"",""condition"":{""eq"":[""P3096"",2]}},{""code"":""OFICINA_CONSULTORIO"",""label"":""Oficina o consultorio"",""condition"":{""eq"":[""P3096"",3]}},{""code"":""KIOSCO_CASETA"",""label"":""Kiosco o caseta"",""condition"":{""eq"":[""P3096"",4]}}],""denominator"":{""notna"":""P3096""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";5464
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.4"",""rule_type"":""CATEGORY"",""variables"":[""P3097""],""categories"":[{""code"":""DOMICILIO_CLIENTE"",""label"":""En el domicilio de sus clientes"",""condition"":{""eq"":[""P3097"",1]}},{""code"":""LOCALES_CLIENTES"",""label"":""Visitando locales o negocios de sus clientes"",""condition"":{""eq"":[""P3097"",2]}}],""denominator"":{""notna"":""P3097""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.4"",""rule_type"":""CATEGORY"",""variables"":[""P3097""],""categories"":[{""code"":""DOMICILIO_CLIENTE"",""label"":""En el domicilio de sus clientes"",""condition"":{""eq"":[""P3097"",1]}},{""code"":""LOCALES_CLIENTES"",""label"":""Visitando locales o negocios de sus clientes"",""condition"":{""eq"":[""P3097"",2]}}],""denominator"":{""notna"":""P3097""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2730
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.5"",""rule_type"":""CATEGORY"",""variables"":[""P3098""],""categories"":[{""code"":""MOVIL"",""label"":""Móvil"",""condition"":{""eq"":[""P3098"",1]}},{""code"":""ESTACIONARIO"",""label"":""Estacionario"",""condition"":{""eq"":[""P3098"",2]}}],""denominator"":{""notna"":""P3098""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.5"",""rule_type"":""CATEGORY"",""variables"":[""P3098""],""categories"":[{""code"":""MOVIL"",""label"":""Móvil"",""condition"":{""eq"":[""P3098"",1]}},{""code"":""ESTACIONARIO"",""label"":""Estacionario"",""condition"":{""eq"":[""P3098"",2]}}],""denominator"":{""notna"":""P3098""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2734
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.6"",""rule_type"":""CATEGORY"",""variables"":[""P3054""],""categories"":[{""code"":""UNO"",""label"":""Uno"",""condition"":{""eq"":[""P3054"",1]}},{""code"":""DOS_TRES"",""label"":""Entre 2 y 3"",""condition"":{""all"":[{""ge"":[""P3054"",2]},{""le"":[""P3054"",3]}]}},{""code"":""CUATRO_MAS"",""label"":""4 o más"",""condition"":{""all"":[{""ge"":[""P3054"",4]},{""lt"":[""P3054"",99]}]}}],""denominator"":{""all"":[{""ge"":[""P3054"",1]},{""lt"":[""P3054"",99]}]},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";4113
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.6"",""rule_type"":""CATEGORY"",""variables"":[""P3054""],""categories"":[{""code"":""UNO"",""label"":""Uno"",""condition"":{""eq"":[""P3054"",1]}},{""code"":""DOS_TRES"",""label"":""Entre 2 y 3"",""condition"":{""all"":[{""ge"":[""P3054"",2]},{""le"":[""P3054"",3]}]}},{""code"":""CUATRO_MAS"",""label"":""4 o más"",""condition"":{""all"":[{""ge"":[""P3054"",4]},{""lt"":[""P3054"",99]}]}}],""denominator"":{""all"":[{""ge"":[""P3054"",1]},{""lt"":[""P3054"",99]}]},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";4113
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.7"",""rule_type"":""CATEGORY"",""variables"":[""P3055""],""categories"":[{""code"":""PROPIO_PAGADO"",""label"":""Propio, totalmente pagado"",""condition"":{""eq"":[""P3055"",1]}},{""code"":""PROPIO_PAGANDO"",""label"":""Propio, lo está pagando"",""condition"":{""eq"":[""P3055"",2]}},{""code"":""ARRIENDO"",""label"":""En arriendo o subarriendo"",""condition"":{""eq"":[""P3055"",3]}},{""code"":""USUFRUCTO"",""label"":""En usufructo"",""condition"":{""eq"":[""P3055"",4]}},{""code"":""POSESION"",""label"":""Posesión sin título o propiedad colectiva"",""condition"":{""eq"":[""P3055"",5]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3055"",6]}}],""denominator"":{""notna"":""P3055""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";8226
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.7"",""rule_type"":""CATEGORY"",""variables"":[""P3055""],""categories"":[{""code"":""PROPIO_PAGADO"",""label"":""Propio, totalmente pagado"",""condition"":{""eq"":[""P3055"",1]}},{""code"":""PROPIO_PAGANDO"",""label"":""Propio, lo está pagando"",""condition"":{""eq"":[""P3055"",2]}},{""code"":""ARRIENDO"",""label"":""En arriendo o subarriendo"",""condition"":{""eq"":[""P3055"",3]}},{""code"":""USUFRUCTO"",""label"":""En usufructo"",""condition"":{""eq"":[""P3055"",4]}},{""code"":""POSESION"",""label"":""Posesión sin título o propiedad colectiva"",""condition"":{""eq"":[""P3055"",5]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P3055"",6]}}],""denominator"":{""notna"":""P3055""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";8226
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.8"",""rule_type"":""CATEGORY"",""variables"":[""P469""],""categories"":[{""code"":""SI"",""label"":""Sí"",""condition"":{""eq"":[""P469"",1]}},{""code"":""NO"",""label"":""No"",""condition"":{""eq"":[""P469"",2]}}],""denominator"":{""notna"":""P469""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""D.8"",""rule_type"":""CATEGORY"",""variables"":[""P469""],""categories"":[{""code"":""SI"",""label"":""Sí"",""condition"":{""eq"":[""P469"",1]}},{""code"":""NO"",""label"":""No"",""condition"":{""eq"":[""P469"",2]}}],""denominator"":{""notna"":""P469""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""F.1"",""rule_type"":""CATEGORY"",""variables"":[""P1633""],""categories"":[{""code"":""SI"",""label"":""Sí tiene RUT"",""condition"":{""eq"":[""P1633"",1]}},{""code"":""NO"",""label"":""No tiene RUT"",""condition"":{""eq"":[""P1633"",2]}}],""denominator"":{""notna"":""P1633""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""F.1"",""rule_type"":""CATEGORY"",""variables"":[""P1633""],""categories"":[{""code"":""SI"",""label"":""Sí tiene RUT"",""condition"":{""eq"":[""P1633"",1]}},{""code"":""NO"",""label"":""No tiene RUT"",""condition"":{""eq"":[""P1633"",2]}}],""denominator"":{""notna"":""P1633""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";2742
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""F.10"",""rule_type"":""CATEGORY"",""variables"":[""P4004""],""categories"":[{""code"":""ALCALDIA"",""label"":""Alcaldía"",""condition"":{""eq"":[""P4004"",1]}},{""code"":""ICA"",""label"":""Instituto Colombiano Agropecuario (ICA)"",""condition"":{""eq"":[""P4004"",2]}},{""code"":""MINISTERIO"",""label"":""Ministerio"",""condition"":{""eq"":[""P4004"",3]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P4004"",4]}}],""denominator"":{""notna"":""P4004""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";5484
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""F.10"",""rule_type"":""CATEGORY"",""variables"":[""P4004""],""categories"":[{""code"":""ALCALDIA"",""label"":""Alcaldía"",""condition"":{""eq"":[""P4004"",1]}},{""code"":""ICA"",""label"":""Instituto Colombiano Agropecuario (ICA)"",""condition"":{""eq"":[""P4004"",2]}},{""code"":""MINISTERIO"",""label"":""Ministerio"",""condition"":{""eq"":[""P4004"",3]}},{""code"":""OTRO"",""label"":""Otro"",""condition"":{""eq"":[""P4004"",4]}}],""denominator"":{""notna"":""P4004""},""percent_semantics"":""DISTRIBUTION"",""measure"":""PERCENT""}";5088
EMICRON;FORMULA;132;"RULE_JSON:{""type"":""TABLE"",""sheet"":""F.11"",""rule_type"":""CATEGORY"",""variables"":[""P2991""],""categories"":[{""code"":""SI"",""label"":""Sí declaró"",""condition"":{""eq"":[""P2991"",1]}},{""code"":""NO"",""label"":""No declaró"",""condition"":{""eq"":[""P2991"",2]}},{""code"":""NO_RESPONSABLE"",""label"":""No es responsable de este impuesto"",""condition"":{""eq"":[""P2991"",3]}},{""code"":""NO_INFORMA"",""label"":""No informa"",""condition"":{""eq"":[""P2991"",9]}}],""denominator"":{""notna"":""P2991""},""percent_semantics"":""DISTRIBUTION"",""measure"":""COUNT""}";5484
