"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
GEIH;CATEGORY;599;"20";6952
EXPORTACIONES;CATEGORY;341;"201";372
EXPORTACIONES;CATEGORY;341;"21";372
GEIH;CATEGORY;599;"21";8126
GEIH;CATEGORY;599;"210";747
GEIH;CATEGORY;599;"2111";282
GEIH;CATEGORY;599;"2112";101
GEIH;CATEGORY;599;"2113";571
GEIH;CATEGORY;599;"2114";365
GEIH;CATEGORY;599;"2120";312
GEIH;CATEGORY;599;"213";5
GEIH;CATEGORY;599;"2131";1314
GEIH;CATEGORY;599;"2132";1193
GEIH;CATEGORY;599;"2133";859
GEIH;CATEGORY;599;"2141";1207
GEIH;CATEGORY;599;"2142";2112
GEIH;CATEGORY;599;"2143";1151
GEIH;CATEGORY;599;"2144";896
GEIH;CATEGORY;599;"2145";727
GEIH;CATEGORY;599;"2146";680
GEIH;CATEGORY;599;"2149";636
GEIH;CATEGORY;599;"2151";1186
GEIH;CATEGORY;599;"2152";799
GEIH;CATEGORY;599;"2153";596
GEIH;CATEGORY;599;"2161";1626
GEIH;CATEGORY;599;"2162";79
GEIH;CATEGORY;599;"2163";955
GEIH;CATEGORY;599;"2164";107
GEIH;CATEGORY;599;"2165";768
GEIH;CATEGORY;599;"2166";1676
EXPORTACIONES;CATEGORY;341;"22";372
GEIH;CATEGORY;599;"22";4372
GEIH;CATEGORY;599;"2211";1944
GEIH;CATEGORY;599;"2212";1687
GEIH;CATEGORY;599;"2221";1670
GEIH;CATEGORY;599;"2222";37
GEIH;CATEGORY;599;"2230";254
GEIH;CATEGORY;599;"2240";741
GEIH;CATEGORY;599;"2250";1239
GEIH;CATEGORY;599;"2261";1548
GEIH;CATEGORY;599;"2262";392
GEIH;CATEGORY;599;"2263";1311
GEIH;CATEGORY;599;"2264";1368
GEIH;CATEGORY;599;"2265";685
GEIH;CATEGORY;599;"2266";559
GEIH;CATEGORY;599;"2267";513
GEIH;CATEGORY;599;"2269";1173
EXPORTACIONES;CATEGORY;341;"23";372
GEIH;CATEGORY;599;"23";4256
GEIH;CATEGORY;599;"2310";2087
GEIH;CATEGORY;599;"2320";1728
GEIH;CATEGORY;599;"2330";2428
GEIH;CATEGORY;599;"2341";2390
GEIH;CATEGORY;599;"2342";1794
GEIH;CATEGORY;599;"2351";1081
GEIH;CATEGORY;599;"2352";391
GEIH;CATEGORY;599;"2353";1021
GEIH;CATEGORY;599;"2354";831
GEIH;CATEGORY;599;"2355";778
GEIH;CATEGORY;599;"2356";414
GEIH;CATEGORY;599;"2359";1697
EXPORTACIONES;CATEGORY;341;"24";372
GEIH;CATEGORY;599;"24";3241
GEIH;CATEGORY;599;"2411";2372
GEIH;CATEGORY;599;"2412";1606
GEIH;CATEGORY;599;"2413";598
GEIH;CATEGORY;599;"2421";1127
GEIH;CATEGORY;599;"2422";1041
GEIH;CATEGORY;599;"2423";734
GEIH;CATEGORY;599;"2424";345
GEIH;CATEGORY;599;"2431";1494
GEIH;CATEGORY;599;"2432";383
GEIH;CATEGORY;599;"2433";776
GEIH;CATEGORY;599;"2434";248
EXPORTACIONES;CATEGORY;341;"25";744
GEIH;CATEGORY;599;"25";6222
GEIH;CATEGORY;599;"2511";1862
GEIH;CATEGORY;599;"2512";1692
GEIH;CATEGORY;599;"2513";492
GEIH;CATEGORY;599;"2514";301
GEIH;CATEGORY;599;"2519";363
GEIH;CATEGORY;599;"2521";478
GEIH;CATEGORY;599;"2522";235
GEIH;CATEGORY;599;"2523";128
GEIH;CATEGORY;599;"2529";264
EXPORTACIONES;CATEGORY;341;"26";372
GEIH;CATEGORY;599;"26";3000
GEIH;CATEGORY;599;"2611";2374
GEIH;CATEGORY;599;"2612";930
GEIH;CATEGORY;599;"2619";390
GEIH;CATEGORY;599;"2621";373
GEIH;CATEGORY;599;"2622";559
GEIH;CATEGORY;599;"2631";826
GEIH;CATEGORY;599;"2632";399
GEIH;CATEGORY;599;"2633";191
